timestamp,time,author,message
1565943170458305,8:43,Mbombi,here we go
1565943224263070,9:38,carnoth ngomane,Mr Desktop Research in the house
1565943243840667,9:57,Lorraine Naidoo,morning
1565943268120619,10:21,Lorna Kavanagh,Mister 1000 million back
1565943293968445,10:48,Mbombi,morning Lorraine is Marikana Day today how you feel abt this day
1565943324515663,11:17,Jabu Nhlanhla,mrng all
1565943329695915,11:22,Norman Zwane,Mr 3 extra zeros there - is in the house
1565943336204826,11:30,Lorna Kavanagh,Sad day for S A.
1565943337269165,11:31,Kabelo Katjedi,Just hope today he will make sense uself how they even got the position as Director generals. Thats why our state entities always run at a loss
1565943355513492,11:48,Lorraine Naidoo,just read a artical Zuma says CR knows everything about the Guptas while he was his DP
1565943405123862,12:37,adam october,here we go again lies lies lies and more lies.tell the truth it will set you free
1565943421383730,12:55,Mbombi,"Lorraine it's not like that, CR was not part of government then"
1565943452111641,13:26,Kabelo Katjedi,"Lorraine i do agree with Zuma on that one,this Cyril cnt be trusted .He is the president of the court while our country is facing huge crisis"
1565943452607308,13:27,Norman Zwane,@Kabelo Katjedi Gives you a clue why kids smarter than them would stand no chance getting a job when these goons remain in charge. Just like the PP who investigated them....getting fax numbers wrong.
1565943472831998,13:47,Pastor J.J,@Thami Nobela Today is indeed a very very sad and dark day in the lives of south africans and particularly the community of Marikana.
1565943478790705,13:53,Mbombi,eish Lorraine sori I lost you lol
1565943542983355,14:56,Mkabayi kaSenzangakhona,today I'm sympathetic with thus guy... he drank Buffalo milk and it messed him up...
1565943556738263,15:10,Jesse Aviles,On my way! Yes Jesus is coming very soon!!
1565943560342855,15:14,Mbombi,Pastor Jwhat should be done
1565943605504535,15:59,Kabelo Katjedi,"Norman i ws so surprised 2 hear that our PP got everything missed up,her office is so incompetent . im wondering how many people r on their pay- roll"
1565943606933153,16:01,Norman Zwane,the the the the.......
1565943622818218,16:16,Kabelo Katjedi,messed up
1565943642335550,16:36,Lorraine Naidoo,Thami CR knows everything about the Statecapure while he was DP ...says Zuma
1565943646390032,16:40,Pastor J.J,"@Thami Nobela We need to recognise,acknowledge and ensure that justice be served. sooner the better to allow this community to heal"
1565943684008836,17:17,Lorraine Naidoo,i agree
1565943700695024,17:33,Norman Zwane,@Kabelo Katjedi Some of the jobs we are short of are lying wasted under incompetent functioneries like bo Thabethe here and our PP.
1565943816093465,19:30,Mbombi,OK we will discuss Marikana later on it's live feed in the afternoon
1565943854111427,20:07,Freedom now,It will take a looooong time to get this country back on its feet
1565943866009492,20:19,Buyiswa Mnyani,@Lorraine Naidoo Zuma is doing everything to bring others down with him. CR may have known but was pushed to the corner. if he knew why all thiz witness not say 'we met with Prez & DPrez'
1565943891429797,20:45,Lorraine Naidoo,Another 40 yeras
1565943891805048,20:45,Kabelo Katjedi,Im suspicious that their qualification might have been bought via a cup of coffee at mag &bean while we complain about unemployed graduates. Thats why the ANC believe in hiring this old useless people
1565944057113309,23:31,Mbombi,Mr Thabethe is working for which company now
1565944076955629,23:51,W PREET,world
1565944108603025,24:23,Lucretia Mohaswane,he is on pension
1565944199631524,25:52,Mbombi,OK thanks Lucre
1565944200504120,25:53,W PREET,c
1565944208346620,26:02,Freedom now,izihlalo zikamama @ Exam adda
1565944284201321,27:17,Mbombi,let me block this Exam guy eish
1565944297997054,27:32,Wilhelm5381,This man had been arested and the NPA withdrew the charges...Sean Abrahams?
1565944315732777,27:50,W PREET,creating Muslim population in non Muslim country.
1565944397744838,29:11,Kabelo Katjedi,"This guy ws nt supposed to be released in jail,this commission should've been conducted in his cell.He wnt tell us the name of the sharks bcs they r the once 2 rescue him"
1565944405584526,29:20,Abe Molefe,he rather speak the truth than biting tongue
1565944594826289,32:28,Thabo Molefe,This here is a pathological liar!! Tjerrrrrr!!!
1565944623013520,32:56,JS Bach,Oh pleeeeease man! What a load of rubbish!!
1565944657549817,33:32,Kabelo Katjedi,"He wnt ,this ANC grandfathers /mothers can lie .Its hurts bcs more than 50 millions of south African r suffering as a results of them being greedy.u steal a million alone & expect us 2 share thousands"
1565944665709118,33:39,Abe Molefe,he is almost on the corner
1565944730378437,34:44,Ashish Kapoor,who r these person
1565944771056547,35:24,carnoth ngomane,No shred of truth will be obtained from this mafia
1565944901427277,37:34,Nadia botha,"my question is whether anyone will be prosecuted from these proceedings, otherwise it just a waste of time and money. Again tax payer money."
1565944907597361,37:41,Mbombi,give him a break 😉
1565944940103343,38:13,isaac inkoom,Nadia Botha youre 100% right
1565944969642467,38:42,rosalind gerber,"if the commission is a waste of time, why are you watching?"
1565944977159077,38:50,Mbombi,I guess the guy he spoke was part of the 30%
1565944982581282,38:56,Kabelo Katjedi,"The state should just sell every property belongs 2 this crooks,we wnt get any truth here. Im sure those sharks involved already told him the outcomes of mentioning them.This commission waste tym"
