timestamp,time,author,message
1558959998073088,25:57,Fires Firestorm,What is the purpose of this commission of inquiry when all the evidence is there but NO arrests being made.
1558960128515025,28:08,Fires Firestorm,Waste of our tax payers money.
1558960178158370,28:58,Peet Venter,We don
1558960218712489,29:39,Peet Venter,Wr don't live in the Wild West anymore...
1558960275253525,30:35,Mzalwane Mzala,@Peet Venter I agree
1558960331752990,31:31,Fires Firestorm,What has the Wild West got to do with any of this?
1558960406831611,32:46,Peet Venter,You want to shoot people before the process is completed
1558960520665182,34:40,clive oconnell,Consultants are the fastest growing money tree in State enquire.
1558960688644128,37:28,Anne M.,@Fires Firestorm The new NDPP (Shamila Batohi) explained things very well in her recent press conference. The exact question was asked of her and you might want to check it out on YouTube.
1558960722873794,38:02,Anne M.,@clive oconnell Which consultants are you referring to?
1558960878521982,40:38,clive oconnell,All Gupta consultants involved in State captures
1558960914607790,41:14,Mzalwane Mzala,South Africa has an independent judiciary so arrests and prosecutions that are based on emotions do not cut it. You need evidence that can stand scrutiny in a court of law.
1558961080074624,43:59,Fires Firestorm,Since this enquirer started on all the previous facts of previously cases. No arrests?
1558961148816717,45:08,Mzalwane Mzala,Please heed @Anne M. 's advice @Fires Firestorm
1558961151886933,45:11,Fires Firestorm,Nothing will come of it. Its a waste of time and money. Banana Republic.
1558961154336453,45:14,Peet Venter,Quite correct Fires...
1558961179582048,45:39,Fires Firestorm,Sharruppp Peet.
1558961248478992,46:48,Peet Venter,"you asked ""no arrest?"" I answered..."
1558961367287848,48:47,Born free,The Trojan horse.. Homix.. Gupta related company.
1558961406652289,49:26,Mzalwane Mzala,@Peet Venter Any link to the town of Stellenbosch?
1558961446022260,50:06,Peet Venter,Nope.
1558961465623122,50:25,Mzalwane Mzala,"Ok, similar names."
1558961497864373,50:57,Kapn Krunch,elect people who haven't passed grade 3 then shocked when they are taken advantage of by business men
1558961536515604,51:36,Kapn Krunch,who expected different results
1558962841296681,1:13:21,Tlhalefo Leshomo,white people love state capture
1558963015908959,1:16:15,clive oconnell,It’s the main taxpayers that have been stolen from plus the poor black majority
1558963328911369,1:21:28,roberto wilco,Nobody likes state capture
1558963959238271,1:31:59,Derek Main,@Tlhalefo Leshomo How do you figure that? The common denominator in all the corruption mentioned at commission is the ANC.
1558964230935240,1:36:30,malsa,what is happening
1558964697091578,1:44:17,Antonie Engelbrecht,"this judge ,,,,,,,,"
1558964992005783,1:49:11,clive oconnell,Gupta friends fingers caught in State cookies jar
