timestamp,time,author,message
1575358357715222,-28:01,evelyn mbao,Mrs Mayo mpapa
1575360113231520,1:03,Tshaba Tjemolane,Echo
1575360123864672,1:14,Elson Een Ntimba,OK
1575360144753974,1:35,Tshaba Tjemolane,Echo. Terrible sound
1575360171136539,2:02,Thembelani Khonco,EchoPlz
1575360193143273,2:24,David Nel,check out your router
1575360256454157,3:26,Ant Duke,We’ll pay for this commission. Buy the criminals will pay nothing...
1575360289778353,4:00,Robert Russell,@SABC Digital News .....sound level please
1575360357168353,5:08,David Nel,they will go to prison with special privileges anyway. Eg. Shabbir Sheik
1575360417309427,6:07,phelelani mbele,gud morng everybody
1575360417347855,6:07,phelelani mbele,gud morng everybody
1575360504953926,7:35,Clarence Mentor,Echo
1575360511260107,7:41,Ibrahim Gassama,إن لي له و إن إليه راجعون.
1575360605644196,9:16,Clarence Mentor,Its up to Who?
1575360661046547,10:10,Clarence Mentor,Everything ultimately turns out white in the washing.
1575360772589781,12:02,Mbuso Ndlovu,Hello all What did i miss???😀😁😂
1575360804939260,12:35,Clarence Mentor,Nothing.😁😁😁
1575360866999919,13:37,fundile jali,this is a fruitless expenditure
1575360910305911,14:21,Clarence Mentor,Fruitless and Wasteful. Not within the ambit of the AG.
1575360937177364,14:47,Pastor J.J,@fundile jali ...What is?...The hearing or the Data you are using to watch it?
1575360950599617,15:00,Mimmy Maruta Chintakoma,kuoa volume
1575361058621862,16:49,makhosi nobhatyi,Journalists Tlabi 😱😱😳😳😳 Zuma will fall she is investigating a lot Zuma
1575361102741953,17:33,Clarence Mentor,Our Judge is already a celebrity. He does not need the extra money.
1575361146958729,18:18,vuyo hlahla,"Zuma has left with with few hiding places ,NOW!"
1575361182284546,18:52,Zamekile Desemela,The sound is terrible
1575361244102398,19:54,Mbuso Ndlovu,We need a better Judge!!!!!!!!!!!!!!
1575361244832628,19:55,Pastor J.J,The sound is 100% perfect on my side. Check your device perhaps @Zamekile Desemela
1575361268663613,20:19,Mshika Mshika,"SABC Please sort out the sound, its horrible"
1575361279541653,20:30,Clarence Mentor,Reddi Tlabi can't wait for her day in court. 😆
1575361280339795,20:30,Mbuso Ndlovu,Zondo is letting us down
1575361303808586,20:54,Mshika Mshika,@Mbuso Ndlovu how so?
1575361312803880,21:03,makhosi nobhatyi,@ Vuyo hlahla Zuma never responds to any allegation instead tell us about spy and conspiracy to kill him
1575361370810713,22:01,makhosi nobhatyi,My beautiful lady
1575361371162124,22:01,Mbuso Ndlovu,"@Mshika Mshika while this commission is being held, A court case must begin on those implicated already"
1575361386723480,22:17,Robert Russell,Super Woman Kate is back
1575361409203065,22:39,Mbuso Ndlovu,Who is this Magogo???
1575361429060968,22:59,Clarence Mentor,Yes Judge the sound is terrible.
1575361430912540,23:01,Granny Mokwena,my favorite advocate is back👌
1575361436436501,23:06,Thulani Bukani,Hofmeyer 💃🕺🏿
1575361482427742,23:52,Shane Hunter,Thank you sound technicians
1575361482549833,23:53,Elvis Malakoane,The one and only Ms Hofmeyer
1575361765990011,28:36,Mbuso Ndlovu,Who will she expose??
1575361834017224,29:44,Mbuso Ndlovu,Too many mistakes!!!!!!
1575361976665260,32:07,Elvis Malakoane,Mbuso Ndlovu I don't think she has anything but she is going assist on certain aspects
1575362017283736,32:47,LED BULPS,",she is going to expose somebody..."
1575362034748785,33:05,Zukile Mawisa,"They start by mixing up dates when they are going to lie and then change languages, in this case she'll change from English to Zulu."
1575362048061125,33:18,Pheladi Lamola,Is she still a minister?
1575362056162119,33:26,Mbuso Ndlovu,@Elvis Malakoane Assist what? We need exposure!!!!
1575362078390564,33:48,Zukile Mawisa,I think not.
1575362101822256,34:13,Elvis Malakoane,Mbuso Ndlovu you want juicy staff?
1575362139740010,34:50,Mbuso Ndlovu,👍👍👍👍👍👍👍👍
1575362263059397,36:53,Lorraine Naidoo,🤣🤣🤣😃
1575362280127399,37:10,LED BULPS,", (ill shine the light) sounds like jimmy manyi appointment and Themba Maseko deployment...procedural or not!"
1575362297393324,37:28,Lorraine Naidoo,Zuma chomie
1575362451662304,40:01,Gladys Nombewu,"I don't think all is done for nothing, personally I think the commission is gathering all evidence so that whoever is to be persecuted or arrested there won't be no loopholes for them"
1575362473332755,40:24,Lorraine Naidoo,R13456788347 million ten thousand five hundred nd seventy two ram
1575362489350907,40:39,Elvis Malakoane,you are correct Gladys
1575362538016617,41:28,Mshika Mshika,@Gladys Nombewu i agree with you
1575362659449506,43:30,Elvis Malakoane,you need evidence based prosecution not vendetta based one cause it will backfire
1575362683178666,43:53,Zukile Mawisa,There you go. First lie.
1575362684708703,43:55,Re Al,Morning people
1575362693304571,44:03,Lorraine Naidoo,African Refuge true
1575362740093987,44:50,anya van loggerenberg,morning peeps... gosh this is going to be a long day🙄
1575362745185561,44:55,Kabelo Katjedi,"This people should just b treated like criminals,the was no need to hire fancy building instead shouldve asked 4 the court room to interogate them"
1575362754978093,45:05,Elvis Malakoane,that is why commission must be thorough not Rush Rush
1575362816823654,46:07,Sandile Ndlovu,even this enquiry is used to steal money of this country
1575362830923048,46:21,Re Al,"so in a ""he said, she said"" situation, who do we beleieve"
1575362852208556,46:42,Sandile Ndlovu,yes very true
1575362915823888,47:46,Mshika Mshika,"@African Refuge i hear you, then what do you suggest as a way out?"
1575362926808026,47:57,Zukile Mawisa,They never recall anything.
1575362931059884,48:01,Sabelo Sabelo,this white lady looks more focused.
1575362933605699,48:04,Lorraine Naidoo,all lies no exciting news .can't remember
1575362934240869,48:04,Sandile Ndlovu,all these politicians must be arrested period
1575362955761518,48:26,Pastor J.J,Ready and waiting my brother@Elvis Malakoane
1575362999626081,49:09,anya van loggerenberg,can someone please remind me why we are having this commission again??? nothing will come from this!!!
1575363017606821,49:28,Zukile Mawisa,This is a commission of Amnesiacs.
1575363080266944,50:30,Kabelo Katjedi,Van Loggerenberg just to fool us stupid voters nt to remove them coming election.Nothing will happen to those criminals
1575363084277075,50:34,Sandile Ndlovu,enquiry of justified stealing
1575363112236930,51:02,Pheladi Lamola,"I'm having a problem with people who keep coming on here, telling us this commission will achieve nothing &it's a waste of money. Why are you here wasting your time and data watching?"
1575363123361094,51:13,Robert Russell,@anya van loggerenberg this commission will recommend that a FORENSIC investigation be undertaken into State Capture
1575363141848725,51:32,Mandla58,Morning
1575363143888249,51:34,Elvis Malakoane,wait and see when this commission finishes and all He'll breaking loose Corrupt people are ridiculing it for their own agenda
1575363164174421,51:54,anya van loggerenberg,@Kabelo Katjedi agree they will go scot free
1575363169638426,51:59,Mandla58,You are absolutely right people are so negative
1575363215245289,52:45,Zukile Mawisa,They can't remember anything except when they getting paid
1575363244816099,53:15,Elvis Malakoane,anya van loggenberg this commission will help that is why it is led by educated people not Guptas
1575363261202307,53:32,anya van loggerenberg,"@Robert Russell yes i know thats what we hope for but will it really happen, is this just smoke and mirrors? a wasting time and money??"
1575363271855679,53:42,The Real SamQ,I wonder how much has been spent on this enquiry?
1575363311009439,54:21,Elvis Malakoane,we must wonder how much was stolen not how we spent to fix
1575363314505060,54:24,Re Al,I wonder how much has been spent on corruption:/
1575363322405143,54:32,Pastor J.J,@anya van loggerenberg ...Please enlighten us all. What is the basis for your views that this is a smokescreen.?
1575363352010572,55:02,Sandile Ndlovu,as we speak more than R40 000 000
1575363367964863,55:17,Robert Russell,@Sam_Q Mbanjwa .....the last I read the cost was R253 MILLION
1575363376969004,55:27,Sandile Ndlovu,on the enquiry
1575363397580760,55:48,Sandile Ndlovu,I am not sure on corruption
1575363398147785,55:49,Elvis Malakoane,Pastor j some people like derailing us to find the truth by critiquing this commission
1575363406908764,55:57,Mario Johnson,mornig they stole everything didnt even leave coim
1575363417183437,56:07,Mario Johnson,coins
1575363426899145,56:17,Re Al,The money spent on this commission could be recovered by the successful prosecution and attachment of assets of 1 corrupt official. So lets not get hung up by such small things
1575363443710810,56:34,Pastor J.J,@Elvis Malakoane ....That is so true
1575363475718055,57:05,Elvis Malakoane,Bianca Arnold morning Bianca
1575363486695425,57:16,anya van loggerenberg,@Pastor J believing that something is being done but no one will do anything to bring criminals too book
1575363538562546,58:09,Phillip Cwazibe,"@Bianca Arnold He said that he was dismissed, he said that he met the Minister at the airport and then a letter that was not received by the minister. Lies and lies."
1575363560165664,58:31,Pastor J.J,The NPA has already said as a fact that they have prepared charge sheets with evidence coming from this Commission. Lets give it a chance @anya van loggerenberg
1575363560447135,58:31,Elvis Malakoane,Jommy Manyi did name dropping and lies
1575363636696782,59:47,Phillip Cwazibe,@ Pastor J ​ The NPA will pursue charges.
1575363690539095,1:00:40,anya van loggerenberg,@Pastor J i know we have to be patient but our patience is running low we need to see some action!!! this process is going too slow
1575363692142482,1:00:42,Pastor J.J,@Phillip Cwazibe They have said that and committed to that already. Adv Hermine Cronje has been appointed totall for that task.
1575363716715407,1:01:07,Phillip Cwazibe,@ Bianca Arnold he said he discussed with Ms Oliphant the removal of another minister. Another lie
1575363736579362,1:01:26,Robert Russell,Advocate Kate Hoffmeyer is so professional and well prepared...... if ever I needed a Advocate it would be her for sure.....
1575363796252543,1:02:26,Zukile Mawisa,"I don't even want to hold my breath, I'll see it when they get arrested."
1575363800819706,1:02:30,Elvis Malakoane,anya van loggenberg Soon something will happen from NPA and the HAWKS I have trust in the current NDPP
1575363819071610,1:02:50,Mshika Mshika,"@Pastor J Most people here comment based on their emotions not facts, and usually emotional comments are baseless"
1575363825443563,1:02:55,anya van loggerenberg,@Robert Russell she is amazing a breath of fresh air
1575363844560020,1:03:14,Phillip Cwazibe,@ Robert Russell ​ Advocate Kate Hoffmeyer is always clear and follows all her arguments/questions in a logical manner.
1575363888271479,1:03:58,معلم هارون الحسن HarunaAlhassan,Nice
1575363898862305,1:04:09,anya van loggerenberg,@Elvis Malakoane i hope you are right but yes we have to stay positive difficult as it seems
1575363905699145,1:04:15,Pastor J.J,@Mshika Mshika ...Yes you are right. I also understand peoples frustrations particularly when corruption was evident and no action during those dreaded 9years@anya van loggerenberg
1575363983703062,1:05:34,Elvis Malakoane,correct Anya
1575364002688505,1:05:53,Pastor J.J,She has already implicated Jimmyboy Manyi in Perjury and lying under oath.
1575364052200058,1:06:42,Phillip Cwazibe,Pastor J ​ She has already implicated Jimmyboy Manyi 5 times by now.
1575364056755275,1:06:46,Mshika Mshika,"@Pastor J people must also note that we a dealing with a network of criminals not individuals, so thorough investigation is required not hear say"
1575364101514993,1:07:32,LED BULPS,",can they deploy a lie deterctor test for this. put it right next to the table of the witnesses...henceforth...re ka lapa maan"
1575364112175840,1:07:42,Pastor J.J,@Mshika Mshika ...That is a brilliant assessment of the status quo of the situation. Well said
1575364157718726,1:08:27,Frago Selamolela,this criminals don't even take this inquiry serious
1575364166809275,1:08:37,Elvis Malakoane,LEd Bulps that machine will give up
1575364218123248,1:09:28,Ntseno Ntseno,"This is just a waste of state funds. We all know the perpetrators are high profile political figures, this poor civil servants we used and now they ha"
1575364244638702,1:09:55,LED BULPS,",i can imagine...but if theres a legal person here..can they advice...is it possible?"
1575364284317186,1:10:34,Pheladi Lamola,"It makes no sense for them to come here and lie. Obviously these advocates follow-up on everything. And Ms Hoffmeyer is busy repeating the question of the letter, so Ms Oliphant had better be sure."
1575364371974093,1:12:01,Kevin Davis,how many prosecutions have started by this man of action rhamaphosa since he has said a
1575364406690077,1:12:37,LED BULPS,",Pheladi you havent been listening. did you get the extremes of the two evidences...its obvious some of them come here to lie,eyeball straight..."
