timestamp,time,author,message
1570191389796101,16:59,TheC4RB1N3,🔥
1570191456953931,18:05,Lorraine Naidoo,well don S.A
1570191725696591,22:34,Salem's Cave,take your optimism elsewhere
1570191727440903,22:36,Salem's Cave,rEEEE
1570191882631915,25:10,fikile mbokodi,did he get a lawyer
1570191927837631,25:55,Hloniphani Ndlela,so almost 80% of ANC leaders will go to court after #state capture bcoz most of them are involved icluding our puppet president
1570191956504012,26:24,Salem's Cave,There is no gaurantee
1570192023644536,27:32,Anne M.,"@fikile mbokodi Yes, a Mr Buthelizi"
1570192026061314,27:34,Hloniphani Ndlela,this is just worst of money.
1570192033601232,27:41,Anne M.,*Buthelezi
1570192254246363,31:22,Salem's Cave,8.2Approval of expenditure [Section 38(1)(f) and 76(4)(b) of the PFMA]
1570192282046502,31:51,Salem's Cave,8.2.1An official of an institution may not spend or commit public money except with the approval (of a properly delegated or authorised officer.
1570192374035516,33:22,Salem's Cave,318m to maybe get back billions. Fair
1570192380540320,33:28,Hloniphani Ndlela,State capture for me it's just a gossip place where they want talk about each other..no results..just creating hatrage.
1570192383041159,33:31,Salem's Cave,Not worth the shame
1570192390540719,33:38,Themba Mdlalose,Why do people say it is a waste of money to find out what happened to taxpayer's money?????????
1570192420117654,34:08,rosalind gerber,@Themba Mdlalose exactly
1570192458223048,34:46,rosalind gerber,has this commission cost more than Vrede?
1570192484661241,35:12,roza,i like the evidence leader
1570192506067033,35:34,rosalind gerber,she is a viper
1570192525312249,35:53,roza,shes getting to something nd trying to push her point through
1570192545160957,36:13,roza,shes getting somewhere
1570192559155622,36:27,Salem's Cave,GET REKT
1570192571004016,36:39,Salem's Cave,RICKTY RICKED
1570192593995790,37:02,Salem's Cave,hai dont play games vitness
1570192650931931,37:59,roza,shes smart
1570192689670565,38:38,roza,even mr zondo seems to no what is in her mind
1570192698391345,38:46,Salem's Cave,NO HE BROKE THE LAW @Roza essack
1570192711743120,39:00,rosalind gerber,he seems to have respect for her
1570192726537511,39:15,roza,yes he does
1570192750126913,39:37,Ndzalama Ngobeni,"@Nathan Janari, How did he break the law if you dont mind me asking"
1570192753725883,39:42,roza,hes haggling
1570192757195566,39:45,rosalind gerber,not like the poor evidence leader earlier this week
1570192784879526,40:12,roza,for sure
1570192785468176,40:13,rosalind gerber,come clean Thabete!!!
1570192790705266,40:19,rosalind gerber,admit it was a bad idea
1570192799897259,40:28,rosalind gerber,or else forever seem stupid
1570192814009224,40:42,Salem's Cave,@ndzalama ngobeni they tried rthe hide the name of the recipent of the funds.
1570192861505718,41:30,rosalind gerber,sounds like laundering
1570192895255032,42:04,roza,yes he no.s what hes hiding
1570192909727663,42:18,rosalind gerber,does anyone know why there was no chat this morning?
1570192937233605,42:45,Salem's Cave,yes and rackeetring @rosalind gerber
1570192945880021,42:53,roza,he took this thing to india coz he did not want to show what they were stealing
1570192955693885,43:04,Darren Govender,hmmmmm ja hmmmm ja
1570192964679882,43:12,Darren Govender,😂
1570192966500079,43:14,roza,now the auditors are wrong
1570192971752949,43:20,Yolo More,Rosalind Gerber I also want to know
1570192981359572,43:30,thembela makoe,"mdlalose ;people who talk like that , might not be paying tax therefore they don't feel any pain"
1570192982057473,43:30,Faith Mathebula,this woman is BOSS
1570193005012875,43:53,Lee D. Hendrix,"...Everything established by the Gupta s and goes and goes and goes in the Gupta s pockets. A monopoly is said to be illegal, and theft must be supported by persons with pockets, usually."
1570193006014088,43:54,Siya Dilimeni,AKAHLEKI LOSISI
1570193014888416,44:03,roza,auditors unqualified🤣🤣🤣🤣🤣🤣🤣🤣🤣
1570193020552982,44:09,Mandla58,She is well trained excellent
1570193043892707,44:32,Mandla58,This man is trying to be clever
1570193044553402,44:32,makhosi nobhatyi,This Thabethe I have a huge problem with him 🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️ embarrassing his situation he clearly showed to be puppets
1570193047551674,44:36,Siya Dilimeni,YIYEKE ZONDO SUYCACISA
1570193052128727,44:40,Yolo More,What prevents this man to come clean?
1570193075741199,45:04,rosalind gerber,orange over-alls
1570193082788448,45:10,Faith Mathebula,SUYCACISA
1570193104638744,45:33,roza,the lawyer could pick up the stealing nd a auditor could not yeesh!!!!
1570193112239293,45:41,Siya Dilimeni,SUYCACISA MHLEKAZI YIYEEEEKE!
1570193117286441,45:46,Yolo More,on coming clean
1570193120276418,45:49,Salem's Cave,unqualified jus means not done to leglation
1570193123701002,45:51,rosalind gerber,come on Zondo...
1570193124444508,45:52,roza,lock him up
1570193142237930,46:11,Person of interest,"Don't worry, Zondo knows where he's taking this witness. he is qualified 🤣🤣"
1570193154575676,46:23,rosalind gerber,hehe
1570193173625204,46:42,Person of interest,this witness is full of holes...
1570193177315397,46:45,Faith Mathebula,HE GOT HIM
1570193178553619,46:46,Siya Dilimeni,YIYEEEEEKE TATA! THERE'S A BIT OF HOLES THERE
1570193180580128,46:48,roza,mr thabete stop talking u putting urself into jail
1570193239676737,47:47,rosalind gerber,i want a hole in Ace
1570193251264819,47:59,Solomuzi Mazibuko,people must know that orange overall is coming
1570193254795376,48:03,Yolo More,He thinks we are playing marble here.
1570193257010442,48:05,roza,miss lawyer go for the jugular now
1570193258659605,48:07,Lucky123 Thwala,this stupid says he's not too sure whether this AG report went through all the channel and then he say on that same reports the AG say they got clean audit
1570193275764295,48:24,roza,how did he get put into that position without knowledge of anything
1570193278687345,48:26,#dm70,Taking himself to jail by protecting some people. His evidence displays so much dishonesty.
1570193293469508,48:41,Person of interest,"Lolol, these two gonna put him there soon 🔜"
1570193315092303,49:03,Faith Mathebula,"Lucky123 Thwala THATS WHY I SAID ""HE GOT HIM"""
1570193334965812,49:23,Handy Mohale,he's systematically throwing himself under the bus.
1570193337372622,49:26,Person of interest,yes
1570193378111595,50:05,Person of interest,she sharp as a tack this leader is BOSS
1570193382089455,50:11,Siya Dilimeni,"PEOPLE FORGET ABOUT JAIL MAAN, WHAT JAIL YA'LL TALKING ABOUT --- NOBODY IS GOING TO JAIL HERE"
1570193413781327,50:41,Person of interest,"siya, protection or jail gonna happen"
1570193441786531,51:10,roza,siya lets hope they go to jail
1570193443457131,51:12,roza,otherwise R50 bail
1570193455692715,51:24,Solomuzi Mazibuko,remember that these people do fake qualifications. no wonder they are like this
1570193480956133,51:49,rosalind gerber,Vrede has cost more than the commission?
1570193481596301,51:49,Tshlaene Timothy,unqualified
1570193495467262,52:04,#dm70,"Siya, you could be right cause we have heard a lot of evidence from this commission and so far noone has been taken to court. This is a joke and a waste of taxpayers money"
1570193495564644,52:04,Siya Dilimeni,"@Person of interest AFTER THIS WE ARE GOING FOR A RECONCILIATION COMMISSION, SHAKE HANDS AND MOVE FORWARD!"
1570193499751797,52:08,roza,every head of all these entities should be suspended
