
CHAIRPERSON:  Good morning Mr Seleka,, good morning every – Mr Seleka, good morning everybody. 
ADV SELEKA SC:  Morning Chairperson. 
CHAIRPERSON:  Ja I corrected myself.  Okay alright. 
ADV SELEKA SC:  Indeed. 
CHAIRPERSON:  The oath you took yesterday Mr Singh will continue to apply. 
MR SINGH:  That is fine Mr Chair. 
CHAIRPERSON:  Thank you.  Okay let us proceed.
ADV SELEKA SC:  Thank you.  Mr Singh thank you again for your availability in assisting the commission.  Yesterday we traversed a couple of – well quite a number of issues regarding the MSA and I want to conclude on that MSA.   I was about to go to what is the legal review presented to Eskom by CDH and that deal specifically with the suspensive conditions amongst other things that you were – you referred to a couple of times yesterday. But before I do that Mr Singh I want to place on record Chairperson the affidavit that I read yesterday of MrPhakamani that that matter Eskom was the Applicant and Mr Phakamani was an acting Group Chief Executive of the Applicant when he deposed to this affidavit.  So he was deposing to the affidavit for and on behalf of Eskom.  So the requirement for the NationalTreasury that we read about yesterday is actually Eskom’s position and if Eskom says there was no National Treasury approval that means the contract was a nullity from inception which means the contract never came into existence Mr Singh. And then it would not matter whether or not the suspensive conditions are fulfilled because it is neither here nor there. Do you follow that reasoning?  You – do you follow the reasoning and then you can comment on what yourview is? 
CHAIRPERSON:  Or maybe Mr Seleka maybe the – there was a contract but it never came into operation because for it to get into operation there were those conditions that needed to be backed and therefor nothing should have been done under it. 
ADV SELEKA SC:  Chair I am – I remember because the PFMA requirement it is a legislative requirement. 
CHAIRPERSON:  Yes. 
ADV SELEKA SC:  So if – if that one is not obtained at theright – at the beginning the contract according to the PFMA is a nullity – is void ab initio. 
CHAIRPERSON:  In the end it might not make much difference whether it was void from the beginning or it did come into being but did not come into effect.
ADV SELEKA SC:  Yes well… 
CHAIRPERSON:  And no – and nobody ought to have acted under it in circumstances  where the conditions had not been met. 
ADV SELEKA SC:  Yes so the Chairperson has the suspensive conditions in mind? 
CHAIRPERSON:  That is what I am – I am – I think you are talking about or is that – was that not so? 
ADV SELEKA SC:  Oh yes what – okay I hear what the Chairperson is saying.
CHAIRPERSON:  No I may be – I may – I may have missed something.  The approvals were they not the suspensive conditions? 
ADV SELEKA SC:  No. 
CHAIRPERSON:  Oh the suspensive conditions were different. 
ADV SELEKA SC:  We at Clause 3.1. 
CHAIRPERSON:  Oh okay. 
ADV SELEKA SC:  Yes. 
CHAIRPERSON:  No then that is fine.
ADV SELEKA SC:  Then the PFMA was Clause 22. 
CHAIRPERSON:  Oh okay. 
ADV SELEKA SC:  Yes. 
CHAIRPERSON:  Okay.  No that is fine. 
ADV VAN DEN HEEVER:  Chairperson I am sorry tointerrupt.  I – I hear what Mr Seleka says at this point but with the greatest of respect to him this is not the issue to be decided here.  This is a – you are here to interrogate with the greatest of respect the facts that applied at the time whatever position Eskom currently takes ex post facto is a totally different story.My understanding was always that what you need to do is interrogate facts that applied at the time and that people can assist you with and deal with because of their knowledge at that point.
CHAIRPERSON:  Well the law as well because you know people are alleged to have entered or done certain things without contracts where they were supposed to do them only if there were contracts.  What – what – where you might have some point is the fact that Eskom states a section a certain factual position does not necessarily preclude Mr Singh from stating the factual position as he understood it – that part.  I think that part may be a fair point.  Okay. 
ADV VAN DEN HEEVER:  Thank you Chair.
CHAIRPERSON:  Alright.   Yes continue Mr Seleka. 
ADV SELEKA SC:  Yes.  So there is that distinction then because as I said to you… 
CHAIRPERSON:  As you do so Mr Seleka always remember that as I understand it.
ADV SELEKA SC:  Yes Chair. 
CHAIRPERSON:  Mr Singh is not a lawyer. 
ADV SELEKA SC:  Yes. 
CHAIRPERSON:  But of course by virtue of his position he knows some laws you know.  He knows something about – so – so I am just saying as you deal with it. 
ADV SELEKA SC:  Yes. 
CHAIRPERSON:  Just bear that in mind. 
ADV SELEKA SC:  Yes. 
CHAIRPERSON:  That – ja – okay alright.ADV SELEKA 
SC:Especially the Public Finance Management Act Mr Singh. 
CHAIRPERSON:  Ja. 
ADV SELEKA SC:  As the Group Chief Executive Officer – Chief – Chief Financial Officer you should have a working knowledge of that Act because it falls squarely within your – the purviews of your duties, is it not? 
MR SINGH:  Oh so 00:07:31 so write down the question 
00:07:25. (Mr Singh is mumbling). 
ADV SELEKA SC:  No.  The Act falls within the purviews ofyour duties is it not? 
MR SINGH:  So – so (inaudible) just wanted that question not the first one?   
ADV SELEKA SC:  We will go to that. 
MR SINGH:  Or do you want me to respond to the first oneas well? 
ADV SELEKA SC:  Ja. 
CHAIRPERSON:  Okay no let – I think… 
ADV SELEKA SC:  I am saying… 
CHAIRPERSON:  Mr Singh – Mr Seleka is asking you whether you agree that as Chief Financial Officer of Eskom you would have been expected to have a working knowledge of the PFMA. 
MR SINGH:  Mr Chair I would agree with that but I would qualify that by saying.
CHAIRPERSON:  Ja. 
MR SINGH:  That I would be expected to have a working knowledge of aspects that are applicable to my specific domain. 
CHAIRPERSON:  Ja. 
MR SINGH:  Which is finance hence I said Section 54.2b for example is Capital and Procurement Capital Projects those are things that negate that entail us that we dealt with almost on a daily basis. 
CHAIRPERSON:  Ja.
MR SINGH:  In terms of procurement and all of these other aspects Mr Chair hence we have a very specific function within Eskom as well as Transnet.  We have a fully fledged group legal function as well as compliance – as well as a compliance function and they are the ones that arecapacitated and accountable in terms of delegation of 
authority 00:08:40 to be able to deal with these specific matters and as Mr Seleka said Mr Hadebe’s affidavit does refer to certain individuals from those specific conditions. 
ADV VAN DEN HEEVER:  Chairperson sorry Mr Singh’s voice is coming over very softly on this side. 
CHAIRPERSON:  Yes. 
ADV VAN DEN HEEVER:  Yesterday the sound was up quite high today it is quite low. 
CHAIRPERSON:  Okay please …
ADV VAN DEN HEEVER:  And it is important that we hear what he says this side. 
CHAIRPERSON:  Please – please speak up Mr Singh maybe you can – could repeat your answer. 
MR SINGH:  So now the technical test.  Is that better?  Now? 
CHAIRPERSON:  Hm. 
MR SINGH:  Okay.  So in terms of the question as it relates to the PFMA being something that I should be particularly familiar with Mr Chair yes I do concede that itis something that I am familiar with.  I am familiar with the sections of the PFMA that applied to me in my specific daily activities as it relates to the CFO.  Issues – broader issues like procurement and other aspects of the PFMA Mr Chair I normally left to the specialists and those are theGroup Legal functions as well as the Legal and Compliance functions within the – both the organisations certainly I will quote is Eskom and Transnet.They are specifically delegated those functions through the delegation of authority premise. 
ADV SELEKA SC:  Thank you Mr Singh.  But clearly the – this requirement for National Treasury approval the team of which you form part was aware of it.  It is clear from the documentation. 
MR SINGH:  By which documentation makes it?
ADV SELEKA SC:  The documentation in the bundles.  The Steering Committee meetings we can see that you talk about that approval even on the 9 t h of February 2016. 
MR SINGH:  In the Steering Committee? 
ADV SELEKA SC:  Ja. 
MR SINGH:  Oh yes it is – it says there it has been obtained. 
ADV SELEKA SC:  Yes.  Correct, correct.   
MR SINGH:  So it comes back to this point Sir. 
ADV SELEKA SC:  Say again.
MR SINGH:  Okay carry on you – I – you going to make a point. 
ADV SELEKA SC:  Ja this is what I want to do Mr Singh Chair because I do not want to waste time on this matter.  If the – if the National Treasury approval was not obtainedthat is the one clause of the agreement the agreement then does not start off the blocks.  In addition to that you have the suspensive conditions.  Those suspensive conditions if they are not fulfilled as CDH and I was about to go to that yesterday – as CDH found in their legal review to Eskom it only serves as an aggravating factor.  But if you say they were fulfilled as you do in your affidavit of yesterday it does not change the fact that the Treasury approval because of lack thereof the agreement could not have come into force.  Youunderstand what I am saying? 
MR SINGH:  I understand totally.  Do you want me to respond? 
ADV SELEKA SC:  Yes please. 
MR SINGH:  So firstly Mr Chair as I said to you yesterday or as you correctly say today I am not a legal person but I will give you my view for what it is worth and also secondly Mr Chair in terms of correction to Mr Seleka as I said yesterday when he started with this topic these matters are not – were not within my personal purview at the time.  Iunderstood that there was something that was happening but they were not in my direct interactions on a daily basis.  Even if you look at the affidavit that Mr Koko had – Mr Hadebe’s affidavit that Mr Seleka had taken us through it was Mr Koko that was dealing with this matter at a latermeeting that he had called with Mr Laher, with Mr Mabelane and with Mr Govender.  So from that perspective that team was dealing.  Ultimately an individual by the name of Mr Ave Gorie who was from Procurement engaged with National Treasury to obtain the email that we obtained.  Let us just park there – there for now okay.So that is the context within which I give my feedback now.  So between then and now I have come across all of this information which I will now give you my view on and the reason why I give you my view Mr Chair isbecause the Parliamentary Inquiry called on me to provide that.So that is how I come across this information.  First point to make Mr Chair is that Mr Seleka is correct in saying that Mr Hadebe in his affidavit acts on behalf of Eskom and provides a view that Eskom had at this point in time.Similarly Mr Chair when I sit here and I provide an affidavit I was also an official of Eskom at the time.  So I provide you a version of – of the events and the facts thatexisted at the time.So that was Eskom’s view at the time.  If it was correct at the time all well and good – if it is now proven to be incorrect then it is incorrect.  But it is not for me to say whether it was right or wrong because that is not my – asyou say I am not a legal person. But all I can tell you now is I knew of the events that occurred leading up to and what the Eskom position was at the time given the information that we had at the time.So Mr Chair in terms of the National Treasury approvals Mr Chair as I said and maybe we should try and find this email of the 4 t h of February.  Do we have it somewhere in the bundle? 
ADV SELEKA SC:  The what?
MR SINGH:  The email that we received from National Treasury on the 4 t h of February 2016? 
ADV SELEKA SC:  Yes it is in your – it is in your affidavit of yesterday. 
MR SINGH:  Did we put it? 
ADV SELEKA SC:  You quoted it. I do not know whether you… 
MR SINGH:  Is the email there actually? 
ADV SELEKA SC:  Yes. 
ADV VAN DEN HEEVER:  Chairperson it is indeed in the –an attachment to the affidavit that we produced. 
MR SINGH:  Submitted yesterday. 
ADV VAN DEN HEEVER:  Yesterday and maybe it – it is a good time just to make sure that the affidavit is received as an exhibit and you can then be referred to specifically tothis annexure. 
CHAIRPERSON:  What email is that Mr Seleka?  I am not sure what the two of you are talking about. 
MR SINGH:  Okay. 
ADV SELEKA SC:  Yes… 
MR SINGH:  Mr Chair it is… 
CHAIRPERSON:  You seem to be talking to the two of you between yourselves only. 
MR SINGH:  Mr Chair it is the email that Eskom relies on – that Eskom relied on at the time.
CHAIRPERSON:  And to say what? 
MR SINGH:  To say that it had the required authority to enter into the contract relative to… 
CHAIRPERSON:  It had require – it had the required approvals? 
MR SINGH:  Approvals or authority or standing to enter into a risk-base contract. 
CHAIRPERSON:  Because… 
MR SINGH:  Which is… 
CHAIRPERSON:  Because authority depending – authoritymight be something different from approval. 
MR SINGH:  No hence – hence I am saying Mr Chair. 
CHAIRPERSON:  It just depends.  Approvals? 
MR SINGH:  Well you see this is where I think there is some level of confusion in my mind if I look at what hashappened.Eskom relies or Mr Hadebe relies on I think Practice Note 1 okay which requires an approval for a deviation which is what I think Mr Koko testified to in terms of the document he had signed.The email that we referred to Mr Chair is relying I think on a different Practice Note that effectively allows for entities such as this one to allow to enter into risk base contracts without a deviation necessarily having to be sought from National Treasury.So there is two different schools of thought. 
CHAIRPERSON:  And are conflicting. 
