timestamp,time,author,message
1607339793570030,-1:00:16,Diane Louw,Ms Daniels should have legal presentation at this enquiry.
1607340136546342,-54:33,Heather Durr,@Diane Louw Not sure what they are getting at-that is standard wording for a minute/submission. Very often not 100% accurate esp in non essential matters
1607340174158628,-53:55,Heather Durr,wonder if there have been complaints re Koko and that she is not being handled strongly enought
1607340389347401,-50:20,Naledi Barron,"@Heather Durr I missed the ""kerfuffle"" with Koko. Can you recall what day it happened, and I'll go and check it out?"
1607340460941438,-49:08,M4L TV - Free Downloads Daily,It's up to her to seek an attorney to try protect her from hanging herself with the rope offered by Zondo and Seleke. The perjury that she's committing here will lead to her being arrested for perjury
1607340508381372,-48:21,Heather Durr,@Naledi Barron 3 December Evening session Mentioned under Koko
1607340509332019,-48:20,Diane Louw,@Heather Durr the only thing that i can assume is that they know she did not write those reports/memos and they are trying to find out who did and hopes she reveal it
1607340530318353,-47:59,Naledi Barron,Thank you @Heather Durr !! x
1607340612722218,-46:36,Diane Louw,oops know must be now...
1607340619984802,-46:29,M4L TV - Free Downloads Daily,The actress is busy rehearsing during this break - but she's still gonna forget her lines
1607340744523915,-44:25,M4L TV - Free Downloads Daily,"Lies, contradictions and her silly laughter when she runs out of answers :washhands:"
1607340843628238,-42:46,M4L TV - Free Downloads Daily,Let me use this break to eat umdoko wamabele
1607340855801131,-42:33,Diane Louw,Brian M name seems to pop up alot this morning....
1607340988319305,-40:21,Heather Durr,@Diane Louw Lets see-apart from the heading thee is absolutely nothing wrong with that resolution
1607341011248319,-39:58,Heather Durr,*there
1607341146117016,-37:43,M4L TV - Free Downloads Daily,Suzanne Daniels you are going down today
1607341188988914,-37:00,M4L TV - Free Downloads Daily,Why is Newzroom Afrika not streaming this?
1607342840434538,-9:29,Sal SA,Restart scheduled for 14h10
1607343196509514,-3:33,Diane Louw,hmmmm
1607343252513192,-2:37,Heather Durr,Looking for draft resolutions/submissions
1607343277419057,-2:12,Lizwi Sambudla,when is this starting????
1607343328088157,-1:21,Diane Louw,yip
1607343477248847,0:53,ALTA,oops they late again
1607343534842637,1:51,ALTA,@Sal SA hi
1607343602045300,2:58,Antoinette Meyer,Hallo my new found friends
1607343623700800,3:19,Naledi Barron,Hallooooo everyone. Still waiting .... 😀
1607343631880038,3:28,Diane Louw,wb
1607343666260491,4:02,Yonds Athini,Ohsh let me finish m pap nd spinach I'll be back now now
1607343672485314,4:08,Aubrey De Bliquy,10 minutes late. should have been 14h10?
1607343676522510,4:12,Santa Kriel,aaaaaaalllll riiiiiiiiisssssse
1607343680922164,4:17,Sal SA,"We waited 10 years for this, few minutes late no problem 🤣😂😎"
1607343689727568,4:25,ALTA,@Naledi Barron hi hi
1607343696149297,4:31,Naledi Barron,True Dat @Sal SA !
1607343705790386,4:41,Naledi Barron,Hi Hi my skattebol @ALTA
1607343736691487,5:13,Aubrey De Bliquy,speak of the devil. They are going a few minutes already. We will have to watch the first 10 minutes on enca
1607343739400478,5:16,ALTA,@Naledi Barron 🤩🤩
1607343778952006,5:55,Antoinette Meyer,"3 yearz ago, to the date"
1607343781609877,5:58,ALTA,@Aubrey De Bliquy refresh they're back on
1607343783577844,6:00,Heather Durr,Oh a round robin-can take several days to get to each one
1607343817652385,6:34,ALTA,@Sal SA at last hello
1607343823356839,6:39,Naledi Barron,Bwah haha! Rockin' Robin (Michael Jackson)
1607343823722051,6:39,Diane Louw,this was very very rushed this desicion
1607343834202581,6:51,Sal SA,@Heather I think round Robin is common in SOE's
1607343834268615,6:51,Michael Holmes,Chair looks very ciskop
1607343844038414,7:00,ALTA,thought every 1 are ignoring me
1607343894184138,7:51,Heather Durr,@Sal SA Happens all the time in corporates save for meetings which require all to be present per Company's Act
1607343934115596,8:30,Sal SA,"@Alta my apologies didn't mean to ignore u, was busy with some domestic stuff:virtualhug:"
1607343943578610,8:38,Santa Kriel,hi @ALTA:shelterin:
1607343956574285,8:52,Naledi Barron,Hi HI @Santa Kriel
1607343966297570,9:02,Sal SA,@Heather Durr Ta
1607343986086937,9:22,ALTA,@Santa Kriel:virtualhug:
1607344017180487,9:53,Jacqui Baumgardt,"@Heather Durr - just out of curiosity, are you involved in corporate governance or company secretaryship?"
1607344022751474,9:58,Yonds Athini,Yhoooo
1607344064105507,10:40,ALTA,@Jacqui Baumgardt hi
1607344084152150,11:00,Santa Kriel,hi @Naledi Barron:chillwcat:
1607344125632335,11:42,Santa Kriel,Naledi is such a pretty name
1607344141675310,11:57,Jacqui Baumgardt,"@Heather Durr, thanks. I worked for Chartered Secretaries SA for many years before I retired"
