timestamp,time,author,message
1550476841510931,-13:32,Talent P Sibisi,Am waiting for Agrizzi today here the one
1550477028360792,-10:25,Desmond Masilela,Hi Guys is the commission not sitting today?
1550477047317087,-10:06,Lorna Kavanagh,not Agrizzi. It will be Robert mcbride
1550477091536889,-9:22,Desmond Masilela,What time?
1550477174335862,-7:59,Music Admirer,ons waag
1550477569007352,-1:25,siboniso makhaye,Fuzile
1550477743351828,1:20,Slindile Ngcobo,Former National Treasury Director General Lungisa Fuzile will testify at the state capture inquiry on Monday.
1550477831970961,2:48,Joel Mzayidume,Des van Rooyen's lawyers to cross-examination of Fuzile
1550478028840899,6:05,Sofia Sofia,Morning All
1550478041488947,6:17,Sofia Sofia,Are we having another postponement today?
1550478041511109,6:17,Julia Mabula,morning
1550478047888598,6:24,Joel Mzayidume,Hi Sofia
1550478062558638,6:39,Sofia Sofia,hi @Joel Mzayidume
1550478071453183,6:47,Olusegun David,Supplementary affidavit is another way Zondo is covering up for people that has lied and destroy people's integrity...
1550478122251265,7:38,Cassius Mngomezulu,Do you believe in van Rooyen wena Parabridge
1550478134446157,7:50,Cebo Khumalo,Des Des VanRoy haha
1550478195852235,8:52,Cassius Mngomezulu,Des is Thief in an industrial scale
1550478227877496,9:23,Sofia Sofia,Does anyone know what's happening today ?
1550478271741966,10:07,Christopher Pitt,This never happens on suits
1550478286658992,10:23,Eslon Eslon,"@Parabridge, Zondo is not up to refuse anything but upholding the rules as the commission's per terms and conditions. try to see it from that view point"
1550478317415328,10:53,Flomenthia Ngcobo,Morning
1550478364378048,11:41,Lancelot Molefe,Mr Maleka is back.
1550478393705173,12:10,Cebo Khumalo,Life of esidimeni hehe
1550478433496657,12:49,Lucas Marikeni,🔥
1550478449182728,13:05,Thuso Makgawane,Mr.Maleka is the best
1550478473960772,13:30,funicanz,@Lancelot Molefe I smiled when I saw Mr Malela 😃
1550478474087481,13:31,Usuthu Deep,where is mr fuzile working now
1550478504963041,14:00,Bheki Mdletshe,He works for me
1550478513227166,14:09,Ntombethemba Manase,standard bank group nton-nton
1550478521524907,14:17,Phankha Sakoane,Mr. Maleka is the best Adv in South Africa today.
1550478610256520,15:46,Lungisani Ntshonga,Ei ntombethemba tanda la nton-nton
1550478634281157,16:10,Ntombethemba Manase,Lol
1550478666664290,16:42,Grayboy how,@goolamv we're in the wrong profession ..these guys are milking it by the hour
1550478692215753,17:08,Grayboy how,think standard bank is also captured
1550478727021068,17:43,Andre Gerber,Bosasa under voluntary liquidation
1550478759642465,18:16,Andre Gerber,2 banks closed their accounts
