timestamp,time,author,message
1555053643989134,-40:21,makhosi nobhatyi,Where is people
1555053703140278,-39:22,Magda Seguin,Waiting
1555053958257160,-35:07,Edwin Arthur,this comission is still asleep
1555054031555274,-33:54,Musa Bakiti,It's tea time already
1555054188378950,-31:17,John Fagan,Hiya guys how are you all
1555054241985279,-30:23,Musa Bakiti,@John Fagan i am corrupt and how are you?
1555054282479042,-29:43,Salathiso Sidali,when is the commission starting?
1555054332858942,-28:53,funicanz,????
1555054365088865,-28:20,John Fagan,heheheheh same hey
1555054372223458,-28:13,John Fagan,my Brain has fused
1555054393035757,-27:52,John Fagan,Musa you made me laugh...I needed that
1555054413814419,-27:32,funicanz,Weren't they supposed to start at 09 :00?
1555054439420825,-27:06,John Fagan,9.30
1555054448979122,-26:56,John Fagan,is what they agreed to
1555054478549904,-26:27,Wallace Mandimutsira,its now 934
1555054638538066,-23:47,Madelein R,Twitter say they start at 10.00. But we all know Pretorius doesn't like early starts 😀
1555054667734771,-23:18,Ngatetsang Makitla,What time are they starting?????
1555054708428674,-22:37,Anne M.,I thought they agreed on 9:30?
1555054750851732,-21:55,Magda Seguin,Gauteng burning protests and total shutdowns
1555054884281308,-19:41,Zamuxolo Mbangcolo,They eventually agreed to start at 10:00 folks.
1555054909501709,-19:16,John Fagan,I see there are loads of protests again today
1555054909805376,-19:16,Salathiso Sidali,when is it starting
1555054983304031,-18:02,John Fagan,I heard yesterday that Load shedding is going to smack us in our faces very soon after elections
1555054995314497,-17:50,carnoth ngomane,Its all Pretorius' fault he doesnt like starting early
1555055249352868,-13:36,Musa Bakiti,@John Fagan we have dark President and he is going to bring use darkness😂😂😂
1555055287437699,-12:58,For Ever Young,Yoh
1555055360632081,-11:45,Musa Bakiti,EFF is bring Pravin back to the commission.Viva EFF
1555055385047056,-11:20,John Fagan,I see ...Musa
1555055784799104,-4:41,Epnet Streaming,310 unhappy people at the moment - goo time keeping
1555055854462790,-3:31,Charles Sambil,greetings
1555055860298866,-3:25,Clarence Mentor,@Epnet Streaming its now 328 people
1555055868670798,-3:17,Charles Sambil,what happened to tue signal
1555055916376870,-2:29,Anne M.,"@SABC Digital News Please be so kind as to put up the starting time, especially when it is different to what was agreed. A lot of wasted data for waiting people."
1555055939581154,-2:06,ronelkotze,true
1555055965387048,-1:40,Gilbert Molefe Motsoenyane,what are we starting kante
1555055966978361,-1:38,Gilbert Molefe Motsoenyane,?
1555055983880678,-1:21,SOTECK,.........................loading 99%
1555055992669761,-1:13,Gilbert Molefe Motsoenyane,i have my popcorns alrready
1555055996776243,-1:09,Musa Bakiti,They call it state capture
1555056107309579,0:33,Aubrey Moloi,All rise
1555056130844947,0:56,Thulani Bukani,Ola bafethu
1555056131939540,0:57,SOTECK,We wannavgo into the weekend with a bang
1555056142942957,1:08,Nooneisnoone,At last
1555056165667309,1:31,Musa Bakiti,Viva EFF
1555056177245279,1:42,Melusi Ndlangisa,You may sit down cdes and focus.
1555056308215049,3:53,Thulani Bukani,Protests are out of hand today
1555056322693185,4:08,Magda Seguin,Nothing this side
1555056366756691,4:52,Magda Seguin,At last thank you
1555056465798085,6:31,Katlego Peterson,"Karima Brown has a crus issue with the EFF. Now I beleive she's and ANC agent. She's asked about the PP and Pravin, and he somehow finds a way of blaming the EFF. Appalling!!"
1555056497460345,7:03,Melusi Ndlangisa,I'm hoping that turning of these pages and going through annexures will bear fruits of criminal charges and sentences of all corrupt leaders who looted cdes going forward.
1555056503609748,7:09,Granny Mokwena,he must drop some high ranking names today
1555056624603815,9:10,makhosi nobhatyi,"Kaklego Person PP has no case to charge Gordhan you would be surprised this is a fight back, Edward Zuma son was using the thing when Gordhan speaks out about corruption and state capture"
1555056637461729,9:22,Jack Sparrow,"@Katlego Peterson​ Karima Brown was Iqbal's lapdog, which places her integrity in serious doubt"
1555056681842550,10:07,Aubrey Moloi,we want names going into the weekend. McBride must stop bluffing
1555056763012748,11:28,Peter Lukas,"Katlego Peterson,really!!!!! think and just dont be a puppet off the EFF"
1555056772181238,11:37,makhosi nobhatyi,Eff is using wrong attempts to attack Gordhan I am not saying if there is a case they can’t do it but look at this as squabble
1555056876300143,13:21,Magda Seguin,Poignant statement!
1555056910053533,13:55,makhosi nobhatyi,"Malema always criticize Anc and even going beyond with ANC affairs saying Ramaphosa won’t finish his term once he started to chase people who did wrong, it is his wish that happened"
1555056987855971,15:13,makhosi nobhatyi,"Malema still angry for ANC, he fears that he may not get more support at the election"
1555057035564396,16:00,cikizwa dineka,That Junior is pretty ✨
1555057082181480,16:47,Aubrey Moloi,"@cikizwa dineka she is, If things were just simple eish"
1555057138512595,17:43,Peter Lukas,she is beautiful and well spoken
1555057144575399,17:50,Robert Russell,Malenema will use anything to create a diversion of the VBS scandal hanging over the EFF's head
1555057161372135,18:06,makhosi nobhatyi,I don’t get you guys however we may be different from views but that doesn’t give anyone a space to attack someone whose not black by color because she or he has point out problem
1555057247272730,19:32,welton paulse,I am actually starting to like MCbreezy
1555057323356160,20:49,welton paulse,so McBreezy was also a victim of the ZUPTA administration
1555057329499949,20:55,makhosi nobhatyi,"@ Robert Russell exactly what the man did, he want to divide ANC, wat I am learning from the ANC, they recognize the problem and slowly try to face it not in full force but they are trying"
1555057339366136,21:05,Mzu Yeko,Robert Russell please advise me where is the page that implicates or talks about EFF in the Motau report. I have that report in my desk right now
1555057383556428,21:49,welton paulse,pages and file names has always been a problem
1555057384275711,21:49,Magda Seguin,The Zuma captured did all in their power to get rid of McBride
1555057435111461,22:40,welton paulse,"@Magda Seguin, and they planned these things quite well or so they thought"
1555057440519979,22:46,Ndim Mavuks,"Deep respect for people like McBride for the sacrifices including death row experiences in the course of a struggle against an evil system correctly described by the world ""a sin against humanity"""
